
Abramsky, Samson;The logic of contextuality;https://zoom.us/rec/play/FK7Z-Gw6vjpyI3cncYJ9l8HxlnOXYSe67Wfrf1V50fl8AuzAfQ_NiwgvBzGxRGGsMQYK-_G9culO4LXB.H224IWUNYGmOjGBX?continueMode=true&_x_zm_rtaid=zss64e_NTPG4y5CJFXexdQ.1604681529772.96a87f916c86bbbf3b280af86246301f&_x_zm_rhtaid=650;November 6, 2020;seminar;
Adam-Day, Samuel;The continuous gradability of the cut-point orders of R-trees;https://youtu.be/gOkD3bXynQo;May 19, 2021;seminar;
Anscombe, Sylvy;Diophantine subsets and subfields of large fields;https://zoom.us/rec/play/znNz6MtzDlRpBC79MwGqCYeeY9NkJ6TLWM1RV0YPSGIltKpf0J7EZNyQ8snF4q_lJnIJMgWRg9XMPinl.RXGGPGV6_hTDgrDY?continueMode=true&_x_zm_rtaid=21NjbJXjSt26G3gadSJyzg.1607036351365.4d0e96540c21ad0a8f97c1381fb2eb2e&_x_zm_rhtaid=605;December 2, 2020;seminar;

